game_name,released_date,platform,overall_rating,exceptional,recommended,meh,skip,metacritic,suggestions_count,tags,all,new_tags,new_plat,year
Marvel's Spider-Man,9/7/2018,"PlayStation 5', 'PlayStation 4'",4.46,1715,948,158,72,87,564,"singleplayer', 'atmospheric', 'exploration', 'exclusive', 'cinematic', 'america', 'superhero'",", 'all","singleplayer', 'atmospheric', 'exploration', 'exclusive', 'cinematic', 'america', 'superhero', 'all","PlayStation 5', 'PlayStation 4', 'all",2018
Hollow Knight,2/23/2017,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'PS Vita'",4.4,1194,512,145,93,88,517,"singleplayer', 'atmospheric', 'difficult', 'exploration', 'controller', 'cute', 'metroidvania', 'gothic'",", 'all","singleplayer', 'atmospheric', 'difficult', 'exploration', 'controller', 'cute', 'metroidvania', 'gothic', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'PS Vita', 'all",2017
Little Nightmares,4/27/2017,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",4.07,337,586,102,53,81,329,"singleplayer', 'atmospheric', 'horror', 'stealth', 'dark', 'short', 'achievements'",", 'all","singleplayer', 'atmospheric', 'horror', 'stealth', 'dark', 'short', 'achievements', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2017
Apex Legends,2/4/2019,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS'",3.67,313,929,492,146,80,666,"multiplayer', 'atmospheric', 'fps', 'survival', 'exploration', 'tactical', 'dark', 'pvp', 'cinematic', 'cyberpunk', 'combat', 'lootboxes'",", 'all","multiplayer', 'atmospheric', 'fps', 'survival', 'exploration', 'tactical', 'dark', 'pvp', 'cinematic', 'cyberpunk', 'combat', 'lootboxes', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'all",2019
Prey,5/5/2017,"PC', 'Xbox One', 'PlayStation 4'",4.27,894,604,205,69,80,622,"singleplayer', 'atmospheric', 'rpg', 'horror', 'fps', 'exploration', 'violent', 'stealth', 'space', 'futuristic', 'aliens', 'heist'",", 'all","singleplayer', 'atmospheric', 'rpg', 'horror', 'fps', 'exploration', 'violent', 'stealth', 'space', 'futuristic', 'aliens', 'heist', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2017
For Honor,2/13/2017,"PC', 'Xbox One', 'PlayStation 4'",3.31,104,594,548,181,76,711,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'gore', 'pvp', 'war', 'realistic', 'medieval', 'moba', 'swordplay'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'gore', 'pvp', 'war', 'realistic', 'medieval', 'moba', 'swordplay', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2017
Detroit: Become Human,5/25/2018,"PC', 'PlayStation 4'",4.28,1086,1097,230,58,79,482,"singleplayer', 'atmospheric', 'exploration', 'violent', 'exclusive', 'futuristic', 'cinematic', 'cyberpunk', 'robots', 'detective', 'drama', 'america', 'narration', 'beautiful', 'emotional', 'european', 'futurism'",", 'all","singleplayer', 'atmospheric', 'exploration', 'violent', 'exclusive', 'futuristic', 'cinematic', 'cyberpunk', 'robots', 'detective', 'drama', 'america', 'narration', 'beautiful', 'emotional', 'european', 'futurism', 'all","PC', 'PlayStation 4', 'all",2018
Hellblade: Senua's Sacrifice,8/7/2017,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",4.27,928,621,207,76,83,476,"singleplayer', 'atmospheric', 'horror', 'fantasy', 'violent', 'dark', 'realistic', 'blood', 'psychological', 'mythology'",", 'all","singleplayer', 'atmospheric', 'horror', 'fantasy', 'violent', 'dark', 'realistic', 'blood', 'psychological', 'mythology', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2017
Stardew Valley,2/25/2016,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'PS Vita'",4.4,1011,579,158,44,89,272,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'sandbox', 'retro', 'cute', 'crafting', 'building', 'overlay', 'relaxing', 'fishing', 'agriculture'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'sandbox', 'retro', 'cute', 'crafting', 'building', 'overlay', 'relaxing', 'fishing', 'agriculture', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'PS Vita', 'all",2016
The Elder Scrolls V: Skyrim Special Edition,10/27/2016,"PC', 'Xbox One', 'PlayStation 4'",4.45,924,488,123,30,74,473,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'classic', 'stealth', 'moddable', 'magic', 'remake', 'dragons'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'classic', 'stealth', 'moddable', 'magic', 'remake', 'dragons', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
Death Stranding,11/8/2019,"PC', 'PlayStation 4'",4.35,903,392,157,72,84,548,"singleplayer', 'atmospheric', 'horror', 'survival', 'exploration', 'stealth', 'nudity', 'memes', 'aliens', 'cinematic', 'drama', 'heist', 'masterpiece'",", 'all","singleplayer', 'atmospheric', 'horror', 'survival', 'exploration', 'stealth', 'nudity', 'memes', 'aliens', 'cinematic', 'drama', 'heist', 'masterpiece', 'all","PC', 'PlayStation 4', 'all",2019
Dishonored 2,11/10/2016,"PC', 'Xbox One', 'PlayStation 4'",4.26,666,720,145,36,86,696,"singleplayer', 'atmospheric', 'gore', 'exploration', 'stealth', 'parkour', 'magic', 'dystopian', 'steampunk', 'assassin', 'illuminati', 'heist', 'supernatural'",", 'all","singleplayer', 'atmospheric', 'gore', 'exploration', 'stealth', 'parkour', 'magic', 'dystopian', 'steampunk', 'assassin', 'illuminati', 'heist', 'supernatural', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
Don't Starve Together,4/21/2016,"PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux'",3.8,183,602,209,63,83,457,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'funny', 'difficult', 'sandbox', 'survival', 'crafting', 'roguelike'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'funny', 'difficult', 'sandbox', 'survival', 'crafting', 'roguelike', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux', 'all",2016
Control,8/27/2019,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X'",4.17,562,620,194,41,84,367,"singleplayer', 'atmospheric', 'exploration', 'cinematic', 'metroidvania', 'detective', 'supernatural', 'abstract', 'realism', 'paranormal'",", 'all","singleplayer', 'atmospheric', 'exploration', 'cinematic', 'metroidvania', 'detective', 'supernatural', 'abstract', 'realism', 'paranormal', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'all",2019
PlayerUnknown’s Battlegrounds,12/20/2017,"PC', 'Xbox One', 'PlayStation 4'",3.31,126,589,631,183,81,495,"multiplayer', 'cooperative', 'fps', 'survival', 'violent', 'tactical', 'pvp'",", 'all","multiplayer', 'cooperative', 'fps', 'survival', 'violent', 'tactical', 'pvp', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2017
NieR:Automata,3/17/2017,"PC', 'Xbox One', 'PlayStation 4'",4.37,1017,450,158,79,86,641,"singleplayer', 'atmospheric', 'rpg', 'violent', 'anime', 'nudity', 'robots', 'jrpg'",", 'all","singleplayer', 'atmospheric', 'rpg', 'violent', 'anime', 'nudity', 'robots', 'jrpg', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2017
Monster Hunter: World,1/26/2018,"PC', 'PlayStation 4', 'Xbox One'",4.03,513,518,271,66,89,586,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'difficult', 'exploration', 'stats', 'jrpg', 'hunting', 'dinosaurs', 'monsters', 'atmosphere'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'difficult', 'exploration', 'stats', 'jrpg', 'hunting', 'dinosaurs', 'monsters', 'atmosphere', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2018
Star Wars Jedi: Fallen Order,11/15/2019,"PC', 'PlayStation 4', 'Xbox One'",4.14,519,812,212,31,80,551,"singleplayer', 'atmospheric', 'difficult', 'exploration', 'space', 'metroidvania', 'heist', 'cinema', 'lightsaber'",", 'all","singleplayer', 'atmospheric', 'difficult', 'exploration', 'space', 'metroidvania', 'heist', 'cinema', 'lightsaber', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2019
Titanfall 2,10/28/2016,"PC', 'Xbox One', 'PlayStation 4'",4.31,734,755,115,38,87,580,"singleplayer', 'multiplayer', 'atmospheric', 'fps', 'gore', 'exploration', 'violent', 'pvp', 'futuristic', 'rts', 'cinematic', 'military', 'parkour', 'combat', 'robots', 'mechs'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'fps', 'gore', 'exploration', 'violent', 'pvp', 'futuristic', 'rts', 'cinematic', 'military', 'parkour', 'combat', 'robots', 'mechs', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
Resident Evil 7: Biohazard,1/23/2017,"PC', 'Xbox One', 'PlayStation 4'",4.33,734,576,97,52,85,280,"singleplayer', 'multiplayer', 'atmospheric', 'horror', 'fps', 'gore', 'classic', 'survival', 'exploration', 'violent', 'zombies', 'memes', 'cinematic', 'vr', 'detective', 'america'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'horror', 'fps', 'gore', 'classic', 'survival', 'exploration', 'violent', 'zombies', 'memes', 'cinematic', 'vr', 'detective', 'america', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2017
Firewatch,2/8/2016,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux'",4.32,931,880,155,47,81,417,"singleplayer', 'atmospheric', 'horror', 'funny', 'exploration', 'comedy', 'short', 'mystery', 'mature', 'colorful', 'drama', 'thriller'",", 'all","singleplayer', 'atmospheric', 'horror', 'funny', 'exploration', 'comedy', 'short', 'mystery', 'mature', 'colorful', 'drama', 'thriller', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux', 'all",2016
Shadow of the Tomb Raider,9/14/2018,"PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux'",3.88,233,737,256,43,78,645,"singleplayer', 'atmospheric', 'gore', 'survival', 'exploration', 'violent', 'stealth', 'dark'",", 'all","singleplayer', 'atmospheric', 'gore', 'survival', 'exploration', 'violent', 'stealth', 'dark', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux', 'all",2018
Paladins,9/15/2016,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS'",3.1,49,399,478,195,78,518,"multiplayer', 'cooperative', 'fps', 'funny', 'fantasy', 'survival', 'anime', 'pvp', 'memes', 'moba'",", 'all","multiplayer', 'cooperative', 'fps', 'funny', 'fantasy', 'survival', 'anime', 'pvp', 'memes', 'moba', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'all",2016
Layers of Fear,2/16/2016,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'macOS', 'Linux'",3.53,137,468,206,124,72,540,"singleplayer', 'atmospheric', 'horror', 'exploration', 'dark', 'short', 'mystery', 'surreal', 'lovecraftian', 'psychedelic'",", 'all","singleplayer', 'atmospheric', 'horror', 'exploration', 'dark', 'short', 'mystery', 'surreal', 'lovecraftian', 'psychedelic', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'macOS', 'Linux', 'all",2016
INSIDE,6/28/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS'",4.41,1176,668,122,73,87,255,"singleplayer', 'atmospheric', 'horror', 'stealth', 'dark', 'short', 'mystery', 'dystopian', 'achievements', 'european'",", 'all","singleplayer', 'atmospheric', 'horror', 'stealth', 'dark', 'short', 'mystery', 'dystopian', 'achievements', 'european', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'all",2016
Far Cry 5,3/27/2018,"PC', 'PlayStation 4', 'Xbox One'",3.72,236,881,441,83,80,375,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'survival', 'exploration', 'stealth', 'memes', 'illuminati', 'america', 'hunting', 'microtransactions'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'survival', 'exploration', 'stealth', 'memes', 'illuminati', 'america', 'hunting', 'microtransactions', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2018
Assassin's Creed Odyssey,10/5/2018,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",4.03,496,803,245,70,85,651,"singleplayer', 'atmospheric', 'rpg', 'stealth', 'historical', 'parkour', 'assassin'",", 'all","singleplayer', 'atmospheric', 'rpg', 'stealth', 'historical', 'parkour', 'assassin', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2018
Hitman 2,11/13/2018,"PC', 'Xbox One', 'PlayStation 4'",4.05,318,493,104,55,83,294,"singleplayer', 'multiplayer', 'cooperative', 'gore', 'sandbox', 'violent', 'stealth', 'nudity', 'assassin'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'gore', 'sandbox', 'violent', 'stealth', 'nudity', 'assassin', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2018
Battlefield 1,10/21/2016,"PC', 'Xbox One', 'PlayStation 4'",3.81,289,855,365,74,88,624,"singleplayer', 'multiplayer', 'atmospheric', 'fps', 'gore', 'violent', 'pvp', 'war', 'mature', 'historical', 'physics', 'military', 'story', 'battle', 'destruction', 'tanks', 'history', 'classes', 'tank'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'fps', 'gore', 'violent', 'pvp', 'war', 'mature', 'historical', 'physics', 'military', 'story', 'battle', 'destruction', 'tanks', 'history', 'classes', 'tank', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
Sekiro: Shadows Die Twice,3/22/2019,"PC', 'Xbox One', 'PlayStation 4'",4.38,944,440,136,68,90,511,"singleplayer', 'atmospheric', 'rpg', 'difficult', 'exploration', 'violent', 'stealth', 'nudity', 'memes', 'jrpg', 'assassin', 'ninja'",", 'all","singleplayer', 'atmospheric', 'rpg', 'difficult', 'exploration', 'violent', 'stealth', 'nudity', 'memes', 'jrpg', 'assassin', 'ninja', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2019
Middle-earth: Shadow of War,9/27/2017,"PC', 'Xbox One', 'PlayStation 4', 'Android'",3.84,200,584,213,51,82,394,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'gore', 'violent', 'stealth', 'anime', 'war', 'medieval', 'magic'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'gore', 'violent', 'stealth', 'anime', 'war', 'medieval', 'magic', 'all","PC', 'Xbox One', 'PlayStation 4', 'Android', 'all",2017
Darksiders Warmastered Edition,11/29/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Wii U'",3.68,122,420,168,68,79,685,"singleplayer', 'rpg', 'fantasy', 'difficult', 'gore', 'violent', 'metroidvania', 'remake', 'demons'",", 'all","singleplayer', 'rpg', 'fantasy', 'difficult', 'gore', 'violent', 'metroidvania', 'remake', 'demons', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Wii U', 'all",2016
Cuphead,9/29/2017,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch'",4.39,797,624,106,30,87,479,"singleplayer', 'cooperative', 'funny', 'difficult', 'retro', 'colorful', 'cartoony', 'cartoon'",", 'all","singleplayer', 'cooperative', 'funny', 'difficult', 'retro', 'colorful', 'cartoony', 'cartoon', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'all",2017
XCOM 2,2/4/2016,"PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",4.09,391,495,129,54,88,660,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'horror', 'difficult', 'tactical', 'moddable', 'futuristic', 'aliens'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'horror', 'difficult', 'tactical', 'moddable', 'futuristic', 'aliens', 'all","PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2016
No Man's Sky,8/9/2016,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",3.67,192,599,338,85,70,772,"singleplayer', 'multiplayer', 'atmospheric', 'horror', 'fps', 'sandbox', 'survival', 'exploration', 'space', 'mystery', 'crafting', 'overlay', 'achievements', 'online', 'illuminati', 'console', 'epic', 'science', 'offline', 'nature', 'fight', 'weapons', 'ship', 'planets', 'galaxy', 'light', 'journey', 'sun', 'sky'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'horror', 'fps', 'sandbox', 'survival', 'exploration', 'space', 'mystery', 'crafting', 'overlay', 'achievements', 'online', 'illuminati', 'console', 'epic', 'science', 'offline', 'nature', 'fight', 'weapons', 'ship', 'planets', 'galaxy', 'light', 'journey', 'sun', 'sky', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2016
The Last of Us Part II,6/19/2020,"PlayStation 5', 'PlayStation 4'",4.42,957,199,87,101,93,592,"singleplayer', 'atmospheric', 'survival', 'violent', 'stealth', 'exclusive', 'blood', 'america'",", 'all","singleplayer', 'atmospheric', 'survival', 'violent', 'stealth', 'exclusive', 'blood', 'america', 'all","PlayStation 5', 'PlayStation 4', 'all",2020
Ori and the Blind Forest: Definitive Edition,4/27/2016,"PC', 'Xbox One', 'Nintendo Switch', 'Xbox 360'",4.42,806,421,77,53,88,495,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'difficult', 'controller', 'stats', 'cute', 'metroidvania'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'difficult', 'controller', 'stats', 'cute', 'metroidvania', 'all","PC', 'Xbox One', 'Nintendo Switch', 'Xbox 360', 'all",2016
Wolfenstein II: The New Colossus,10/25/2017,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch'",4.09,438,771,186,41,86,618,"singleplayer', 'atmospheric', 'horror', 'fps', 'gore', 'comedy', 'violent', 'stealth', 'nudity', 'dystopian', 'illuminati', 'heist', 'einzelspieler'",", 'all","singleplayer', 'atmospheric', 'horror', 'fps', 'gore', 'comedy', 'violent', 'stealth', 'nudity', 'dystopian', 'illuminati', 'heist', 'einzelspieler', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'all",2017
Watch Dogs 2,11/28/2016,"PC', 'Xbox One', 'PlayStation 4'",3.84,252,761,272,63,79,570,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'comedy', 'stealth', 'cute', 'mature', 'parkour', 'crime', 'illuminati', 'hacking'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'comedy', 'stealth', 'cute', 'mature', 'parkour', 'crime', 'illuminati', 'hacking', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
Metro Exodus,2/13/2019,"PC', 'Xbox One', 'PlayStation 4'",4.12,453,522,187,39,81,614,"singleplayer', 'atmospheric', 'horror', 'fps', 'gore', 'survival', 'exploration', 'violent', 'stealth', 'crafting', 'cinematic', 'steam', 'meat', 'category', 'russia'",", 'all","singleplayer', 'atmospheric', 'horror', 'fps', 'gore', 'survival', 'exploration', 'violent', 'stealth', 'crafting', 'cinematic', 'steam', 'meat', 'category', 'russia', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2019
Ratchet & Clank (2016),4/12/2016,PlayStation 4',4.05,329,762,148,37,85,513,exclusive',", 'all","exclusive', 'all","PlayStation 4', 'all",2016
Kingdom Come: Deliverance,2/13/2018,"PC', 'PlayStation 4', 'Xbox One'",4.03,352,498,160,55,71,644,"singleplayer', 'atmospheric', 'rpg', 'historical', 'realistic', 'medieval', 'kickstarter', 'crpg', 'swordplay', 'crowdfunded', 'horses', 'einzelspieler'",", 'all","singleplayer', 'atmospheric', 'rpg', 'historical', 'realistic', 'medieval', 'kickstarter', 'crpg', 'swordplay', 'crowdfunded', 'horses', 'einzelspieler', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2018
Hades,9/17/2020,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch'",4.49,714,295,64,35,93,587,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'isometric', 'roguelike', 'roguelite', 'dungeons'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'isometric', 'roguelike', 'roguelite', 'dungeons', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'all",2020
Call of Duty: WWII,11/3/2017,"PC', 'PlayStation 4', 'Xbox One'",3.52,98,458,301,82,77,462,"singleplayer', 'multiplayer', 'cooperative', 'horror', 'fps', 'gore', 'violent', 'zombies', 'war', 'historical', 'illuminati', 'heist'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'horror', 'fps', 'gore', 'violent', 'zombies', 'war', 'historical', 'illuminati', 'heist', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2017
